fast_period,slow_period,profit_factor,n_trades
16,39,1.151780727152766,31
16,40,1.149006535194726,33
16,41,1.1402124242572778,33
16,42,1.129446718051651,33
16,43,1.1288943022097195,35
16,44,1.1392422166846272,33
16,45,1.1381200281294797,33
16,46,1.1345789633137786,31
16,47,1.1363804221983342,31
16,48,1.1541905053882668,29
16,49,1.1464938059740888,27
16,50,1.1402537421194892,27
17,20,1.1650693513835322,37
17,21,1.1721813636459721,35
17,22,1.1678508422935283,37
17,23,1.1838173066412616,33
17,24,1.1781267565530447,33
17,25,1.1554155042749072,35
17,26,1.150099631322905,35
17,27,1.1484163483013332,33
17,28,1.144883682336341,35
17,29,1.1500434102782173,33
17,30,1.143336218842921,33
17,31,1.1448340797000192,33
17,32,1.135446909830381,33
17,33,1.1406549758322493,31
17,34,1.138262738429719,31
17,35,1.1622700606269398,31
17,36,1.1491135730075601,31
17,37,1.152866402592332,31
17,38,1.1657719752465294,29
17,39,1.1472239177047703,31
17,40,1.1329034672234581,37
17,41,1.1290082787798768,33
17,42,1.1268288232172614,35
17,43,1.1370242054929414,33
17,44,1.128000316430013,33
17,45,1.1387304614291993,31
17,46,1.1517607096955853,31
17,47,1.165056436936852,29
17,48,1.1369897113275558,29
17,49,1.1521891950278804,25
17,50,1.1533671407438093,25
18,20,1.1721813636459721,35
18,21,1.1678508422935283,37
18,22,1.1770375352939861,33
18,23,1.180567775840026,33
18,24,1.1526653358242331,35
18,25,1.1534992906589248,35
18,26,1.1484163483013332,33
18,27,1.1455013165330372,35
18,28,1.1457041516084396,33
18,29,1.1461542799434987,33
18,30,1.1345372664925093,33
18,31,1.134010188769603,33
18,32,1.1417586563231203,31
18,33,1.1535633791707545,31
18,34,1.1462105008434105,31
18,35,1.1544742279911369,31
18,36,1.1512116732384958,31
18,37,1.165714594979962,29
18,38,1.1415590475035646,31
18,39,1.1356194203851275,37
18,40,1.1335750414026942,33
18,41,1.127476105679837,35
18,42,1.1305314797825736,33
18,43,1.1338021495293444,33
18,44,1.151001233776873,31
18,45,1.1579507504834248,29
18,46,1.1484692451821024,29
18,47,1.1420682501973878,29
18,48,1.1556633847750726,25
18,49,1.1828512579513322,23
18,50,1.1694476918229877,23
19,20,1.167063718185959,37
19,21,1.1770375352939861,33
19,22,1.180567775840026,33
19,23,1.1526653358242331,35
19,24,1.1401988510548922,35
19,25,1.1440426110133584,33
19,26,1.146626601567749,35
19,27,1.1410499330465371,33
19,28,1.1353986019761897,33
19,29,1.1282835872536618,33
19,30,1.1432249196878268,31
19,31,1.1404163650326946,31
19,32,1.1553271302728512,31
19,33,1.1544634988503333,31
19,34,1.1514979797414382,31
19,35,1.1652813791852439,29
19,36,1.1638076365007517,29
19,37,1.1501522262688328,29
19,38,1.1415274905958706,33
19,39,1.1369398656837797,35
19,40,1.1235045635221366,35
19,41,1.127427657860204,33
19,42,1.1358300025427126,31
19,43,1.1531097228825393,29
19,44,1.151050774982685,29
19,45,1.1452857166523682,29
19,46,1.1447852688845566,29
19,47,1.180171553442101,23
19,48,1.1838662021648374,23
19,49,1.155495725585636,23
19,50,1.1546898841776247,23
20,21,1.180567775840026,33
20,22,1.1460667487980156,35
20,23,1.1401988510548922,35
20,24,1.1409526539352124,33
20,25,1.1433067570184408,35
20,26,1.132369804694496,33
20,27,1.134091597189816,33
20,28,1.1282835872536618,33
20,29,1.1358873126077025,31
20,30,1.1431864196238046,31
20,31,1.1570691163235485,31
20,32,1.1544634988503333,31
20,33,1.1464930310472068,31
20,34,1.1629149705727833,29
20,35,1.150647641528276,29
20,36,1.1491209620608862,29
20,37,1.1451316978868329,31
20,38,1.135645074296983,35
20,39,1.1194358130667792,35
20,40,1.133123254123875,33
20,41,1.14967268459487,31
20,42,1.1471974245623766,29
20,43,1.146843861906053,29
20,44,1.1500269117937487,29
20,45,1.1656135710739368,27
20,46,1.185157857532283,23
20,47,1.1747031287771443,23
20,48,1.1541673653718962,23
20,49,1.156237313034511,23
20,50,1.1496034093970928,23
