,Date,Open,High,Low,Close,Volume,dxy,creditSpreads,realGDP,kalman_close,kalman_smooth,close_kalman_diff,close_slope,kalman_smooth_slope,RSI14,log,log_return,log_return_90,log_return_30,log_return_7,ln_volume,lnrange,lncreditSpreads,lnrealGDP,ln_atr,hidden_state,state,unfav,signal,position,open_return,strategy_return,trade,cum_strategy_return,cum_buy_hold_return
1002,2024-10-06,0.297013,0.299129,0.270826,0.274457,116237.6740704134,102.5199966430664,2.89,23530.909,-0.06829731534222784,0.027781062714897775,0.3143566215576769,-0.096613,0.1440882600082088,-0.6407754520989883,0.18602825499632641,0.055548479363317894,-0.789471411329505,-0.1481778152407191,-1.3091944103971551,-0.3550793468073667,0.10686212784726341,1.0612565021243408,10.066070112509442,0.45174815133803814,1,Long,2.7284841053187847e-12,Long,1,-0.07547144401086836,-0.07547144401086836,0,1.6879993773655202,-0.3238192563408029
1003,2024-10-07,0.274597,0.307742,0.274399,0.295234,237012.79909259093,102.54000091552734,2.95,23530.909,-0.07707511224917946,0.03289162717566436,0.04764459776602988,-0.04672900000000002,0.17448772292067766,-0.24645182104709376,0.2640549003434813,-0.040140445172343435,-0.6919338473037051,-0.06606950060184112,-0.6333116962662636,0.30651058029230077,0.2829987028862053,1.0818051703517284,10.066070112509442,0.28025884940538426,1,Long,4.547473508864641e-13,Long,1,0.07589667767674091,0.07589667767674091,0,1.8920095997047115,-0.27249938438808186
1004,2024-10-08,0.295438,0.298818,0.287492,0.288906,35237.57685227771,102.5500030517578,2.99,23530.909,-0.0871955919692746,0.039156729762956415,0.15759350224643853,-0.032505000000000006,0.2125285764953087,-0.33368164865733446,0.24088771335548867,0.01852897059468406,-0.7430993477287287,-0.0909122898970779,-0.45713250793613963,-1.4633583340927336,-0.5935127293323821,1.095273387402595,10.066070112509442,0.21256267091037054,1,Long,0.0,Long,1,-0.023548087923692895,-0.023548087923692895,0,1.8239083033747012,-0.289630632849052
1005,2024-10-09,0.288481,0.294576,0.277989,0.278636,17105.672729225065,102.93000030517578,2.94,23530.909,-0.09988760196988299,0.04674371313100707,0.32655867895624147,-0.03446300000000002,0.25894571049271,-0.4747861203387259,0.2021863167607159,0.0275356918201007,-0.7888810884239679,-0.280686120471224,-0.5008063595507056,-2.134443663158878,-0.37085622295580634,1.0784095813505903,10.066070112509442,0.1376277692097567,1,Long,0.0,Long,1,-0.03434541616258946,-0.03434541616258946,0,1.7269199974903051,-0.31402856439300664
1006,2024-10-10,0.278573,0.287081,0.276652,0.28157,22102.67406334031,102.98999786376952,2.99,23530.909,-0.11036260094043068,0.05585974001965108,0.3197151046190604,-0.020859000000000016,0.31457975517723696,-0.41372713001888106,0.21338644807858054,-0.001995409982109488,-0.7724793329046198,-0.3012554663238091,-0.30350781522870185,-1.896460084052812,-0.612367130484123,1.095273387402595,10.066070112509442,0.0845290140675531,1,Long,0.0,Long,1,0.011871215085453413,0.011871215085453413,0,1.7592918513013367,-0.3058852499384388
1007,2024-10-11,0.28188,0.300582,0.280318,0.297745,49467.12096794371,102.88999938964844,2.98,23530.909,-0.11427482428871913,0.0667043296619376,0.13728693546934564,-0.00409200000000004,0.3799407169201002,-0.08450472719388705,0.27311049105609425,-0.030362059311959413,-0.7225776638215262,-0.15016830927787406,-0.050849147615960655,-1.1483894612852885,-0.2343697666895917,1.091923300517313,10.066070112509442,0.10294215628991335,1,Long,0.0,Long,1,0.05760962111536827,0.05760962111536827,0,1.9182536094015297,-0.2658975621768037
1008,2024-10-12,0.298119,0.304011,0.297621,0.301116,17814.548704568515,102.88999938964844,2.98,23530.909,-0.11665482725237589,0.07942639807469597,0.1376785817020461,0.004265999999999992,0.455163321020977,-0.017600999809652178,0.28514820721050355,-0.0028615305985297177,-0.713407737663372,-0.14949615776044248,0.07115585629379115,-2.0967384948680343,-0.7940464142141841,1.091923300517313,10.066070112509442,0.003810933706845682,1,Long,0.0,Long,1,0.009952401557767221,0.009952401557767221,0,1.9472972411696974,-0.25859147993105147
1009,2024-10-13,0.301086,0.310644,0.294555,0.310106,36386.06350745954,102.88999938964844,2.98,23530.909,-0.11571468201449799,0.094177785959351,0.06831595619663904,0.035648999999999986,0.5402925145282383,0.16226347972856578,0.3166038688470094,-0.014894114343061775,-0.7098051452022136,-0.1470497844969916,0.5424718594678228,-1.433576273870801,-0.42588304636640806,1.091923300517313,10.066070112509442,0.010550007080203852,1,Long,0.0,Long,1,0.030728761881987143,0.030728761881987143,0,2.037864036289039,-0.23580891406057625
1010,2024-10-14,0.310338,0.365427,0.307522,0.348114,267996.98891976767,103.3000030517578,2.97,23530.909,-0.10178418236750406,0.11109628183206186,-0.39179673942006993,0.05287999999999998,0.6346468625272133,0.8038465960531721,0.4402254019395409,-0.07359250288627311,-0.6599594682935866,0.1264487197572967,0.7288210529399554,0.4205970449959651,0.949745099555093,1.0885619528146082,10.066070112509442,0.09223979765185515,1,Long,0.0,Long,1,0.12149978410636142,0.12149978410636142,0,2.4069638608426365,-0.14295986210293032
1011,2024-10-15,0.348044,0.349036,0.331768,0.340823,101004.95384964292,103.26000213623048,2.93,23530.909,-0.09168789000795274,0.1302069661493728,-0.22145365499137096,0.05191699999999999,0.737292825356693,0.6582059756603944,0.41759300282321477,0.020346824551493035,-0.6878636498456779,0.1686472821158217,0.731006764836435,-0.48551419530391654,-0.45404018619877995,1.075002423028976,10.066070112509442,0.057637361175594926,1,Long,0.0,Long,1,-0.014426336899932224,-0.014426336899932224,0,2.357813852380227,-0.1553238118689978
