timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,signal,label,bitcoin_log_return_1,primary_signal,momentum_3,momentum_5,momentum_10,sma_5,sma_10,price_vs_sma5,price_vs_sma10,volatility_5,volume_sma_5,volume_ratio,signal_x_momentum3,signal_x_momentum5,meta_confidence,refined_by_meta,strategy_returns,position_change,transaction_cost,strategy_returns_gross,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-07-30,23858.0,23653.0,24605.0,23619.0,62102072346.807785,451726702392.36206,0,,-0.008210399588304083,-1.0,0.03247631935047357,0.10890764181903423,0.014584137605627712,23093.6,22777.0,0.024223161395364956,0.03845984984853135,0.03737097530110534,53458987500.54753,1.1616769274983318,-0.03247631935047357,-0.10890764181903423,0.9291114383897888,1,-0.0,0,0.0,-0.0,,,,
2022-07-31,23644.0,23380.0,24082.0,23289.0,31786729326.443203,447051019373.1847,0,,-0.01160900074354386,-1.0,-0.018554277558559318,0.10096063288754942,0.009717123731375565,23522.4,22799.5,-0.006053804033602117,0.02546108467290953,0.03871612426581351,49017209358.79988,0.6484810078388652,0.018554277558559318,-0.10096063288754942,0.9287073847890276,1,-0.0,0,0.0,-0.0,,,,
2022-08-01,23345.0,23334.0,23467.0,22898.0,44489771146.510735,445958949620.3002,0,,-0.0019694316422571388,-1.0,-0.021553170077155293,0.01855166091928928,0.028065383090276175,23607.4,22863.2,-0.01158111439633347,0.020592043108576208,0.020731897825995313,47015507199.211716,0.9462786598898304,0.021553170077155293,-0.01855166091928928,0.7548380581841299,1,-0.0,0,0.0,-0.0,,,,
2022-08-02,23304.0,23054.0,23422.0,22729.0,35151096516.75639,440954684720.7478,-1,1.0,-0.012072234222844458,-1.0,-0.025324483152242894,-0.03223910670808494,0.024349062472229566,23453.8,22918.0,-0.01704627821504401,0.00593420019198887,0.005844868922260073,42923800906.43158,0.8189185434295837,0.025324483152242894,0.03223910670808494,0.6205885537765474,0,-0.001,1,0.001,-0.0,time,5.0,0.0062,0.031
2022-08-03,23053.0,22860.0,23631.0,22774.0,41334593234.075066,437035641450.2815,1,1.0,-0.008450631812156268,-1.0,-0.022241231822070162,-0.04142905065414293,0.010878217033695847,23256.2,22942.6,-0.01703631719713461,-0.0036002894179386624,0.004007931931709505,42972852514.11864,0.9618768784430746,0.022241231822070162,0.04142905065414293,0.9202048290830168,1,0.007450631812156268,1,0.001,0.008450631812156268,time,5.0,0.0413,0.0297
2022-08-04,22853.0,22678.0,23212.0,22515.0,23624874220.429745,432420621055.8012,1,1.0,-0.007993366817016529,-1.0,-0.028113482471929352,-0.04122098676700625,0.06319737458977959,23061.2,23077.4,-0.01661665481414676,-0.0173069756558365,0.004012354091897685,35277412888.84303,0.6696884007585895,0.028113482471929352,0.04122098676700625,0.8896145001679457,1,-0.007993366817016529,0,0.0,-0.007993366817016529,time,5.0,0.0229,0.0284
2022-08-05,22671.0,23225.0,23433.0,22658.0,27040190909.828075,443821669890.4801,1,1.0,0.023833993150254088,-1.0,0.0074173679187994335,-0.006629597946963162,0.09366170653607075,23030.2,23276.3,0.008458458893105592,-0.0022039585329283184,0.014629622597449727,34328105205.520008,0.7876983232235019,-0.0074173679187994335,0.006629597946963162,0.961800441826215,1,0.023833993150254088,0,0.0,0.023833993150254088,time,5.0,0.0307,0.0279
2022-08-06,23271.0,22985.0,23322.0,22985.0,14439694271.14074,439414782173.18774,-1,1.0,-0.010387455441710868,-1.0,0.005468066491688628,-0.014956715522413622,0.0033174734820375917,22960.4,23283.9,0.0010714099057507198,-0.012837196517765603,0.015200267225894008,28318089830.446003,0.5099106033492414,-0.005468066491688628,0.014956715522413622,0.662414344397739,0,-0.011387455441710867,1,0.001,-0.010387455441710868,time,5.0,0.0411,0.0268
2022-08-07,22981.0,23198.0,23341.0,22927.0,14324042469.270954,442979379284.1196,-1,1.0,0.009224238801493269,-1.0,0.022929711614780857,0.0062462045631994645,-0.026194274200319057,22989.2,23221.5,0.00908252570772361,-0.001011993195960681,0.014997759758609187,24152679020.948917,0.5930622626519791,-0.022929711614780857,-0.0062462045631994645,0.6668542191691158,0,-0.009224238801493269,0,0.0,-0.009224238801493269,time,5.0,0.051,0.0256
2022-08-08,23205.0,23824.0,24214.0,23202.0,27756736787.028625,455450642522.25543,1,1.0,0.02662740788196876,-1.0,0.025791173304628545,0.042169728783902016,-0.0010063737001005935,23182.0,23219.1,0.027693900439996533,0.02605182802089656,0.01740641690491413,21437107731.53963,1.2947985863872464,-0.025791173304628545,-0.042169728783902016,0.775202168529619,1,-0.02762740788196876,1,0.001,-0.02662740788196876,time,5.0,0.0253,0.0255
2022-08-09,23849.0,23204.0,23935.0,22961.0,29738069337.77638,443382534834.6949,-1,1.0,-0.026368798337835255,-1.0,0.00952795301283449,0.023194285210335952,-0.018982792880395727,23287.2,23174.2,-0.0035727781785702684,0.0012859127823181549,0.022718734134505664,22659746755.008953,1.3123743022945638,-0.00952795301283449,-0.023194285210335952,0.6578372944352325,0,-0.027368798337835256,1,0.001,-0.026368798337835255,time,5.0,0.0467,0.0259
2022-08-10,23119.0,23949.0,24206.0,22782.0,32215976525.650154,457270455537.3291,1,1.0,0.03160189172795371,-1.0,0.032373480472454474,0.03117330462863288,0.024337040205303584,23432.0,23231.1,0.02206384431546593,0.03090254012939564,0.02461775018123698,23694903878.17337,1.3596162572039803,-0.032373480472454474,-0.03117330462863288,0.8092002805343123,1,-0.03260189172795371,1,0.001,-0.03160189172795371,time,5.0,0.0096,0.0263
2022-08-11,23956.0,23949.0,24931.0,23896.0,33892871243.716595,458070674127.7904,0,,0.0,-1.0,0.00524680993955684,0.04194039591037635,0.026356389817433712,23624.8,23292.6,0.013722867495174595,0.028180623889132228,0.023257892574645136,27585539272.688538,1.2286463175027622,-0.00524680993955684,-0.04194039591037635,0.9494298656669791,1,-0.001,1,0.001,0.0,,,,
2022-08-12,23951.0,24411.0,24434.0,23674.0,25195193357.103275,466765701334.6809,0,,0.019107281050858294,-1.0,0.05201689363902773,0.052288990430209514,0.05886180272403929,23867.4,23428.3,0.022775836496643942,0.04194499814327113,0.02377048270489313,29759769450.255005,0.8466192387416961,-0.05201689363902773,-0.052288990430209514,0.8727057004323842,1,0.0,0,0.0,0.0,,,,
2022-08-13,24402.0,24434.0,24883.0,24383.0,22240559959.522095,467078368768.6749,0,,0.0009417545992382664,-1.0,0.02025136748924794,0.025604432505036856,0.06885389326334201,23989.4,23585.7,0.018533185490258175,0.035966708641252954,0.02203755794902333,28656534084.7537,0.7761078117034002,-0.02025136748924794,-0.025604432505036856,0.9545782064072719,1,0.0,0,0.0,0.0,,,,
