timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,enter_short,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-02-14,21792.0,22220.0,22291.0,21609.0,45363697019.73754,428649056117.7321,0.01871590925730719,22182.4,21594.0,1,True,False,-0.01971590925730719,1,0.001,-0.01871590925730719,1.0,upper,1.0,0.0898,0.0213
2023-02-15,22168.0,24308.0,24315.0,22088.0,44336284482.19016,468820317786.9533,0.08981273006162485,22038.8,21576.6,1,False,False,0.08981273006162485,0,0.0,0.08981273006162485,1.0,time,5.0,0.0195,0.034
2023-02-16,24323.0,23757.0,25230.0,23757.0,48144978044.45546,459293697174.9459,-0.02292829037672363,22510.0,21698.4,1,False,False,-0.02292829037672363,0,0.0,-0.02292829037672363,1.0,time,5.0,0.0274,0.0337
2023-02-17,23608.0,24629.0,24949.0,23340.0,54200707340.94142,475194230168.09973,0.03604738651860328,23174.8,22123.2,1,False,False,0.03604738651860328,0,0.0,0.03604738651860328,0.0,time,5.0,-0.0198,0.0334
2023-02-18,24624.0,24643.0,24780.0,24466.0,24900444765.27695,475529620771.9494,0.0005682740857590142,23744.4,22453.0,1,False,False,0.0005682740857590142,0,0.0,0.0005682740857590142,0.0,time,5.0,-0.0285,0.0318
2023-02-19,24636.0,24284.0,25113.0,24284.0,33664683478.33256,470798520570.0436,-0.014675187232559714,24313.0,23052.0,1,False,False,-0.014675187232559714,0,0.0,-0.014675187232559714,0.0,time,5.0,-0.0469,0.031
2023-02-20,24302.0,24787.0,25038.0,23881.0,38997046274.497246,478236525469.6496,0.02050162491689245,24877.4,23587.0,1,False,False,0.02050162491689245,0,0.0,0.02050162491689245,0.0,lower,4.0,-0.0674,0.0298
2023-02-21,24791.0,24417.0,25193.0,24216.0,41991954878.4476,470623925511.17865,-0.01503971117206589,25022.0,23945.6,1,False,False,-0.01503971117206589,0,0.0,-0.01503971117206589,0.0,time,5.0,-0.0365,0.0291
2023-02-22,24416.0,24146.0,24452.0,23634.0,40336608135.49699,465998918250.2451,-0.01116087610281837,25014.6,24037.4,1,False,False,-0.01116087610281837,0,0.0,-0.01116087610281837,0.0,time,5.0,-0.0264,0.0281
2023-02-23,24167.0,23951.0,24632.0,23658.0,42356618035.349625,461042830140.0772,-0.008108658271486309,24915.2,24096.2,-1,False,True,-0.009108658271486308,1,0.001,-0.008108658271486309,0.0,time,5.0,-0.0338,0.0269
2023-02-24,23964.0,23172.0,24043.0,22978.0,35081974267.07997,447316067422.04736,-0.0330654234043317,24885.6,23934.6,-1,False,False,0.0330654234043317,0,0.0,0.0330654234043317,1.0,time,5.0,0.0197,0.0277
2023-02-25,23176.0,23157.0,23235.0,22876.0,22999909593.10942,447030240435.99854,-0.0006475425985511822,24671.6,23673.4,-1,False,False,0.0006475425985511822,0,0.0,0.0006475425985511822,1.0,time,5.0,0.0132,0.0264
2023-02-26,23167.0,23541.0,23691.0,23075.0,24469102669.371048,454284528651.50226,0.016446471177619396,24311.0,23472.4,-1,False,False,-0.016446471177619396,0,0.0,-0.016446471177619396,0.0,time,5.0,-0.0512,0.0256
