timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,ema_fast,ema_slow,atr,ema_signal,long_atr,short_atr,long_trail_stop,short_trail_stop,long_stop,short_stop,signal,long_trailing_stop,short_trailing_stop,strategy_returns,position_change,transaction_cost,strategy_returns_gross
2022-06-11,29100.0,28374.0,29406.0,28314.0,22518366769.839092,540789214973.6274,-0.025299304958383804,29723.433030435266,30346.96740907972,1287.9285714285713,-1,0.0,31593.821428571428,0.0,31593.821428571428,0,0,-1,0.0,31593.821428571428,0.025299304958383804,0,0.0,0.025299304958383804
2022-06-12,28432.0,26767.0,28552.0,26767.0,29834061115.62461,514202090511.0678,-0.05830344738260464,29066.44791256076,30035.665895246704,1371.642857142857,-1,0.0,30196.10714285714,0.0,30196.10714285714,0,0,-1,0.0,30196.10714285714,0.05830344738260464,0,0.0,0.05830344738260464
2022-06-13,26628.0,22526.0,26795.0,22113.0,64852526179.382835,429492202561.014,-0.17249958788168432,27613.015043102816,29382.65146957308,1525.7142857142858,-1,0.0,26340.285714285714,0.0,26340.285714285714,0,0,-1,0.0,26340.285714285714,0.17249958788168432,0,0.0,0.17249958788168432
2022-06-14,22501.0,22245.0,23014.0,21047.0,47639470967.891426,423044474596.5387,-0.012552933367499661,26420.12281130219,28761.986124392814,1601.357142857143,-1,0.0,26248.39285714286,0.0,26248.39285714286,0,0,-1,0.0,26248.39285714286,0.012552933367499661,0,0.0,0.012552933367499661
2022-06-15,22223.0,22529.0,22665.0,20193.0,52027211446.51121,429887916884.8431,0.012686103937000644,25555.428853235037,28219.987330967353,1596.4285714285713,-1,0.0,26520.071428571428,0.0,26248.39285714286,0,0,-1,0.0,26248.39285714286,-0.012686103937000644,0,0.0,-0.012686103937000644
2022-06-16,22584.0,20409.0,22836.0,20283.0,27449277945.59262,389181727345.57733,-0.09882738816397241,24411.777996960584,27540.77104131802,1710.4285714285713,-1,0.0,24685.071428571428,0.0,24685.071428571428,0,0,-1,0.0,24685.071428571428,0.09882738816397241,0,0.0,0.09882738816397241
2022-06-17,20378.0,20473.0,21238.0,20300.0,24232922585.240158,391441740414.39136,0.003130964839408074,23536.49399763601,26926.182255116455,1689.142857142857,-1,0.0,24695.857142857145,0.0,24685.071428571428,0,0,-1,0.0,24685.071428571428,-0.003130964839408074,0,0.0,-0.003130964839408074
2022-06-18,20470.0,19047.42,20748.0,17677.43,38920632524.1614,362303884192.0101,-0.07217528554048436,22538.921998161342,26241.07249380198,1878.2549999999999,-1,0.0,23743.0575,0.0,23743.0575,0,0,-1,0.0,23743.0575,0.07217528554048436,0,0.0,0.07217528554048436
2022-06-19,19032.4,20516.0,20710.0,18043.27,32488136325.883087,390555374756.5322,0.07427341019706481,22089.38377634771,25743.240103036595,2031.3071428571427,-1,0.0,25594.267857142855,0.0,23743.0575,0,0,-1,0.0,23743.0575,-0.07427341019706481,0,0.0,-0.07427341019706481
2022-06-20,20553.0,20637.0,20903.0,19723.65,28346447996.779846,392793374515.9921,0.005880511684964813,21766.63182604822,25299.219224511675,1989.6892857142855,-1,0.0,25611.223214285714,0.0,23743.0575,0,0,-1,0.0,23743.0575,-0.005880511684964813,0,0.0,-0.005880511684964813
2022-06-21,20620.0,20701.0,21660.0,20416.0,25340643362.789,395059669321.2376,0.003096427071229776,21529.824753593057,24899.37407455414,1920.8321428571428,-1,0.0,25503.080357142855,0.0,23743.0575,0,0,-1,0.0,23743.0575,-0.003096427071229776,0,0.0,-0.003096427071229776
2022-06-22,20698.0,19983.57,20844.0,19821.82,24955466738.110855,381616262301.266,-0.03527157234526434,21186.212586127935,24471.91285067987,1901.7021428571427,-1,0.0,24737.825357142858,0.0,23743.0575,0,0,-1,0.0,23743.0575,0.03527157234526434,0,0.0,0.03527157234526434
2022-06-23,19976.54,21100.0,21124.0,19976.54,23655104386.978516,402495826231.42053,0.0543626045440685,21167.05423365506,24178.703037577274,1938.735,-1,0.0,25946.8375,0.0,23743.0575,0,0,-1,0.0,23743.0575,-0.0543626045440685,0,0.0,-0.0543626045440685
2022-06-24,21099.0,21263.0,21452.0,20772.0,21955656695.748722,407086114490.3726,0.007695432542543651,21188.375515065047,23925.163643005337,1892.8064285714283,-1,0.0,25995.01607142857,0.0,23743.0575,0,0,-1,0.0,23743.0575,-0.007695432542543651,0,0.0,-0.007695432542543651
