date,mvrv_z_score
2020-02-27,0.9186232110197192
2020-02-28,0.8877278631044274
2020-02-29,0.8663657856773838
2020-03-01,0.8504435589435912
2020-03-02,0.9386348888526508
2020-03-03,0.9183093802779184
2020-03-04,0.9049982663104414
2020-03-05,1.0084875441163372
2020-03-06,1.0198785922017644
2020-03-07,0.9555582838272052
2020-03-08,0.7179899713499962
2020-03-09,0.6516790399299267
2020-03-10,0.6585285945868584
2020-03-11,0.6605622400053209
2020-03-12,-0.2606023495322094
2020-03-13,0.0039624069844594
2020-03-14,-0.1490842110888605
2020-03-15,-0.0630557858821307
2020-03-16,-0.1770164826754076
2020-03-17,-0.1031969346886994
2020-03-18,-0.0979801483991769
2020-03-19,0.195529616365211
2020-03-20,0.1852757909707523
2020-03-21,0.1903398668161655
2020-03-22,0.0875414482601832
2020-03-23,0.2652472624459913
2020-03-24,0.3573514768704932
2020-03-25,0.3412607430304709
2020-03-26,0.3557547826456908
2020-03-27,0.2792157882887281
2020-03-28,0.2096469629401681
2020-03-29,0.1148013634286107
2020-03-30,0.2766213146251287
2020-03-31,0.2737309129962987
2020-04-01,0.3265941450096339
2020-04-02,0.389546696773182
2020-04-03,0.3711403345067949
2020-04-04,0.4036938252005895
2020-04-05,0.3891317715633189
2020-04-06,0.5219168590751809
2020-04-07,0.5034380870379074
2020-04-08,0.5528316909267004
2020-04-09,0.53458361021769
2020-04-10,0.4125737813599195
2020-04-11,0.4107877211898723
2020-04-12,0.4557864590240502
2020-04-13,0.4071865252684517
2020-04-14,0.4072840487944285
2020-04-15,0.3466708329135734
2020-04-16,0.4894214156126613
2020-04-17,0.4867664198444725
2020-04-18,0.5360328946222352
2020-04-19,0.5266268732940218
2020-04-20,0.4200149400563894
2020-04-21,0.4228693957647068
2020-04-22,0.4932820972872382
2020-04-23,0.5880550105347628
2020-04-24,0.621950029861243
2020-04-25,0.6285981507430544
2020-04-26,0.6626422483755761
2020-04-27,0.6943600212426403
2020-04-28,0.6975529124625967
2020-04-29,0.9945042087388568
2020-04-30,0.9513763849411732
2020-05-01,1.0007494670523462
2020-05-02,1.0400069676250263
2020-05-03,1.008940984140951
2020-05-04,1.0126045282601692
2020-05-05,1.0334279746263717
2020-05-06,1.126677626578068
2020-05-07,1.3254940585016417
2020-05-08,1.2848768027660384
2020-05-09,1.198719988838714
2020-05-10,0.9439075562670723
2020-05-11,0.8950861957768178
2020-05-12,0.957210877864562
2020-05-13,1.100264169964681
2020-05-14,1.2494120107303028
2020-05-15,1.1105811374625802
2020-05-16,1.1295317387525476
2020-05-17,1.2136903876295022
2020-05-18,1.2281016739419537
2020-05-19,1.2204141259683916
2020-05-20,1.1604335819661933
2020-05-21,1.026404420821839
2020-05-22,1.0551945898931716
2020-05-23,1.0637296202384765
2020-05-24,1.014027956685179
2020-05-25,0.976914898554175
2020-05-26,0.9492017407024916
2020-05-27,1.035207052930688
2020-05-28,1.1619869622004897
2020-05-29,1.1311705449580365
2020-05-30,1.2089151846100834
2020-05-31,1.1273652690296467
2020-06-01,1.3477867600269102
2020-06-02,1.1480529640454369
2020-06-03,1.183449988198885
2020-06-04,1.229505054597162
2020-06-05,1.1892444208502255
2020-06-06,1.1801276988247251
2020-06-07,1.2120206519214076
2020-06-08,1.2120220654194498
