date,hash_rate_mean
2022-11-06,252393021396060050000
2022-11-07,261658115309512430000
2022-11-08,299794611223010100000
2022-11-09,270422816953465440000
2022-11-10,271052071974680460000
2022-11-11,243591042537563230000
2022-11-12,307653257683493800000
2022-11-13,232916990364711350000
2022-11-14,226613422677795470000
2022-11-15,284282692784439260000
2022-11-16,271582169414782980000
2022-11-17,253545078408882800000
2022-11-18,252439031400471070000
2022-11-19,270357471440790520000
2022-11-20,273487665700396730000
2022-11-21,234292173301434400000
2022-11-22,239755723562822100000
2022-11-23,251258874074001340000
2022-11-24,236056246648440900000
2022-11-25,226513375048339650000
2022-11-26,199903238395128900000
2022-11-27,250320195866621100000
2022-11-28,257815431190783100000
2022-11-29,238604542932582760000
2022-11-30,256260142697859940000
2022-12-01,279615813690246660000
2022-12-02,232467867214159280000
2022-12-03,235603091876325720000
2022-12-04,257844037908838680000
2022-12-05,267287711930339130000
2022-12-06,231403992310782000000
2022-12-07,292216387803524700000
2022-12-08,284972601394334630000
2022-12-09,260935375385166700000
2022-12-10,260381383526503300000
2022-12-11,249316848669146000000
2022-12-12,245030519745229780000
2022-12-13,279948745695146250000
2022-12-14,254919616864874820000
2022-12-15,233508258328561800000
2022-12-16,220881634945140400000
2022-12-17,235317070021587040000
2022-12-18,246504666601580660000
2022-12-19,235051301646218720000
2022-12-20,244937521274518100000
2022-12-21,252983675137562800000
2022-12-22,239257116251278020000
2022-12-23,229237947147025780000
2022-12-24,156420176556029600000
2022-12-25,247350932248542900000
2022-12-26,227197220987833060000
2022-12-27,202429835862250300000
2022-12-28,299173440549368700000
2022-12-29,245564124385902760000
2022-12-30,278372629613801800000
2022-12-31,277465584024826970000
2023-01-01,270095033579092900000
2023-01-02,271417209972440900000
2023-01-03,262989562020238920000
2023-01-04,242808938481888850000
2023-01-05,265104888426393080000
2023-01-06,306016864068834500000
2023-01-07,261198815192120300000
2023-01-08,260459069035723980000
2023-01-09,257353525098805040000
2023-01-10,286444504231313770000
2023-01-11,249317478299478850000
2023-01-12,253805714113554220000
2023-01-13,271465293456027300000
2023-01-14,288392301677594570000
