date,dormancy_flow
2023-09-01,286712.2382381791
2023-09-02,287265.4817557281
2023-09-03,287693.21639464615
2023-09-04,287074.239100332
2023-09-05,286246.27353081986
2023-09-06,285880.6378149117
2023-09-07,290905.1273361133
2023-09-08,287078.14137456723
2023-09-09,286705.9393806116
2023-09-10,285787.26751516
2023-09-11,277802.41139174305
2023-09-12,285294.07574357744
2023-09-13,289117.24634933344
2023-09-14,292063.74546606216
2023-09-15,292720.6013029989
2023-09-16,291010.5919049377
2023-09-17,289874.92223978566
2023-09-18,290959.300835418
2023-09-19,292894.7667784874
2023-09-20,291605.19016959943
2023-09-21,285043.00923034054
2023-09-22,285007.41927183524
2023-09-23,284634.9127823936
2023-09-24,280703.967509914
2023-09-25,280609.91491967073
2023-09-26,278884.5629020214
2023-09-27,279888.9299448237
2023-09-28,287564.6859227815
2023-09-29,285331.6392260813
2023-09-30,285836.8846034134
2023-10-01,295457.6617559667
2023-10-02,291073.23672233394
2023-10-03,288913.4711231476
2023-10-04,291669.98514940817
2023-10-05,287272.47069035267
2023-10-06,292062.3158669952
2023-10-07,290901.1645515308
2023-10-08,290144.7315742171
2023-10-09,284955.30181666126
2023-10-10,282423.28357691865
2023-10-11,275891.83455331204
2023-10-12,274627.9549493671
2023-10-13,275426.41804632195
2023-10-14,275180.7429226896
2023-10-15,277339.21261894377
2023-10-16,290684.9877045149
2023-10-17,289876.26250985207
2023-10-18,289080.8641455797
2023-10-19,292075.68509654916
2023-10-20,301981.41975648847
2023-10-21,303659.26832544745
2023-10-22,304273.69650255016
2023-10-23,332371.07446880627
2023-10-24,340819.8343546241
2023-10-25,346871.83664495323
2023-10-26,341978.22620640835
2023-10-27,339016.16946358886
2023-10-28,339243.70196186105
2023-10-29,342518.6374466357
2023-10-30,341182.1967133835
2023-10-31,341491.12377664994
2023-11-01,346128.43364531605
2023-11-02,340204.2024295979
2023-11-03,337932.38093701686
2023-11-04,340151.12720771926
2023-11-05,339930.230301026
2023-11-06,338280.94268447836
2023-11-07,341279.8961577835
2023-11-08,345146.4809350874
2023-11-09,352559.3729406464
2023-11-10,357218.94638374477
2023-11-11,353368.1850528893
2023-11-12,354085.27757369954
2023-11-13,348857.2754323093
2023-11-14,338374.4728342148
2023-11-15,358133.0111178501
2023-11-16,342368.72713805176
2023-11-17,344970.7239961844
2023-11-18,344007.702480772
2023-11-19,350207.7244278819
2023-11-20,349011.5269113914
2023-11-21,333875.9997799504
2023-11-22,347083.6212990262
2023-11-23,345942.6585130716
2023-11-24,349112.7442562987
2023-11-25,349198.6714624035
2023-11-26,344756.3102159885
2023-11-27,340417.88118249446
2023-11-28,346708.83815332246
2023-11-29,345393.73331977194
2023-11-30,342647.3675457945
2023-12-01,350743.8072550744
2023-12-02,357203.5542059876
2023-12-03,360535.1300758091
2023-12-04,376198.6419406842
2023-12-05,392792.4987567718
2023-12-06,389707.9909648951
2023-12-07,383403.6064359506
2023-12-08,389779.503867155
2023-12-09,384345.72529299534
2023-12-10,383228.7326141515
2023-12-11,359958.10480629303
2023-12-12,360702.4463158968
2023-12-13,371806.94103046134
2023-12-14,373463.24173379
2023-12-15,361573.9072370263
2023-12-16,362027.7936809467
2023-12-17,354224.7568215207
2023-12-18,362540.7909546849
2023-12-19,357162.69005367754
2023-12-20,367305.5392661531
2023-12-21,367743.8691640757
2023-12-22,367846.95268587605
2023-12-23,363855.616514778
2023-12-24,356608.71248558734
2023-12-25,359707.3957140404
2023-12-26,349519.40252199915
2023-12-27,355335.86095864384
2023-12-28,347594.8867103906
2023-12-29,341462.6500483168
2023-12-30,342017.5890014612
2023-12-31,341143.94445889955
2024-01-01,355616.07755551796
2024-01-02,360002.8580363893
2024-01-03,342755.6958181564
2024-01-04,352120.28582493117
2024-01-05,350722.6288115388
2024-01-06,348306.02703122934
2024-01-07,347371.19247266796
2024-01-08,370486.7469618155
2024-01-09,361542.5026887666
2024-01-10,364396.8603607799
2024-01-11,362015.2023944658
2024-01-12,332764.64745646395
2024-01-13,332966.9335953808
2024-01-14,324549.0099825485
2024-01-15,329120.54760775215
2024-01-16,327095.2444328868
2024-01-17,320557.96078761155
2024-01-18,308653.6347425228
2024-01-19,309591.13491678896
2024-01-20,309842.15503355215
2024-01-21,308526.25529588456
2024-01-22,291165.92638750223
2024-01-23,292386.3491102254
2024-01-24,292852.5049776232
2024-01-25,289576.68462343054
2024-01-26,302513.89346437954
2024-01-27,303721.16454271146
2024-01-28,302798.54439266684
2024-01-29,309801.5054803567
2024-01-30,307339.84874979017
2024-01-31,304082.4418404193
2024-02-01,306564.56957719004
2024-02-02,305881.19604269083
2024-02-03,304605.33219691814
2024-02-04,300319.6355367671
2024-02-05,299957.05151565606
2024-02-06,301082.51912015385
2024-02-07,307908.99890473374
2024-02-08,314794.55595591024
2024-02-09,326648.06486969965
2024-02-10,329891.9731267999
2024-02-11,331411.777838463
2024-02-12,342779.2648608605
2024-02-13,340346.22729508876
2024-02-14,353578.86677632655
