timestamp,dogecoin_open,dogecoin_close,dogecoin_high,dogecoin_low,dogecoin_total_volume,dogecoin_market_cap,dogecoin_open_btc,dogecoin_high_btc,dogecoin_low_btc,dogecoin_close_btc,dogecoin_volume_btc,dogecoin_log_return_1,sma_fast,sma_slow,signal,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2024-01-17,0.081288,0.080437,0.081584,0.079781,310331132.257136,11476579209.88361,1.8844584569732938e-06,1.888605953979351e-06,1.8896046990833947e-06,1.8831530645689936e-06,0.014570176393925355,-0.010228844728079306,0.08123114285714285,0.08253152941176471,-1,0.010228844728079306,0,0.0,0.010228844728079306,1.0,upper,3.0,0.0863,0.0308
2024-01-18,0.080529,0.077962,0.080713,0.07729,361561463.07723325,11131608117.994898,1.8835871166935655e-06,1.8821677587855325e-06,1.9011191735333907e-06,1.88948401638351e-06,0.014370241267466029,-0.031252740838881084,0.08028242857142856,0.0817024705882353,-1,0.031252740838881084,0,0.0,0.031252740838881084,1.0,upper,2.0,0.1175,0.0305
2024-01-19,0.077941,0.078519,0.078803,0.075442,412655564.97801405,11207556194.954943,1.8890208434318953e-06,1.8720720292678292e-06,1.8720099255583126e-06,1.8874305906108028e-06,0.016906658181293898,0.007119105226470919,0.0800517142857143,0.080954,-1,-0.007119105226470919,0,0.0,-0.007119105226470919,1.0,upper,1.0,0.1104,0.0293
2024-01-20,0.078563,0.087684,0.089572,0.078172,765987028.0822636,12583234227.110867,1.8874447434172591e-06,2.140617531784724e-06,1.8871641358665477e-06,2.1064719165905923e-06,0.0803469820061855,0.11039880887868139,0.08100728571428571,0.08129205882352941,-1,-0.11039880887868139,0,0.0,-0.11039880887868139,0.0,lower,2.0,-0.0895,0.0446
2024-01-21,0.088046,0.08532,0.089959,0.084914,1059504068.4029179,12186218087.873207,2.1133914212332878e-06,2.149917548932916e-06,2.0454797292414427e-06,2.053825044533243e-06,0.13189892390293317,-0.027330548993931312,0.08177157142857142,0.08136435294117646,1,0.02233054899393131,1,0.005,0.027330548993931312,0.0,lower,4.0,-0.0904,0.0435
2024-01-22,0.08528,0.08018,0.085418,0.080119,743467578.0630664,11454075360.887112,2.052664516439609e-06,2.0510985712570535e-06,2.028072395899253e-06,2.0296165042399697e-06,0.023826913437013982,-0.0621347863887888,0.08162371428571429,0.08121764705882353,1,-0.0621347863887888,0,0.0,-0.0621347863887888,0.0,time,5.0,-0.0011,0.0458
2024-01-23,0.080417,0.078206,0.081618,0.076099,621432114.7878251,11153900106.310274,2.0348946076570763e-06,2.034093457943925e-06,1.975571131879543e-06,1.963346973614842e-06,0.02093539245346474,-0.024927736263699807,0.08118685714285714,0.08107888235294118,1,-0.024927736263699807,0,0.0,-0.024927736263699807,1.0,time,5.0,0.0077,0.044
2024-01-24,0.078165,0.079101,0.080641,0.077671,402243504.1834827,11296187702.474304,1.961382113821138e-06,1.9911849675300625e-06,1.9641664980780905e-06,1.971413617784867e-06,0.018105107112800382,0.011379145968066445,0.080996,0.08112976470588235,-1,0.006379145968066445,1,0.005,0.011379145968066445,1.0,time,5.0,0.0311,0.0422
2024-01-25,0.078908,0.077943,0.079147,0.077169,337325714.07623506,11133635615.945223,1.9696470470770307e-06,1.965799016442303e-06,1.951767919469877e-06,1.951599979968952e-06,0.025216985506071245,-0.014747726601893512,0.08099328571428573,0.08093241176470588,1,0.009747726601893512,1,0.005,0.014747726601893512,1.0,time,5.0,0.023,0.0403
2024-01-26,0.077883,0.07973,0.080277,0.077585,320642197.7930362,11391274237.254608,1.9511235814314703e-06,1.9025239957340918e-06,1.9480503176237226e-06,1.904545780283305e-06,0.014136664245226723,0.02266813619756996,0.08116628571428572,0.08095976470588236,1,0.02266813619756996,0,0.0,0.02266813619756996,0.0,time,5.0,-0.0131,0.0392
2024-01-27,0.079841,0.080088,0.080658,0.078986,250862228.0987022,11447779916.79406,1.9071972863865465e-06,1.912505335040546e-06,1.9060788146432104e-06,1.9014245014245015e-06,0.02345765443662617,0.004480103602778691,0.08008114285714285,0.08078535294117647,-1,-0.0005198963972213094,1,0.005,0.004480103602778691,0.0,time,5.0,-0.0101,0.0373
